branch,class,action
03-17-chore_updates_changelog,upstream-mirror,delete
03-17-feat_add_azure_passthrough,upstream-mirror,delete
03-19-refactor_custom_pricing_refactor,upstream-mirror,delete
03-20-fix_config_json_schema_fixes,upstream-mirror,delete
03-21-feat_drops_unsupported_openai_params,upstream-mirror,delete
03-22-add_ctx.log_for_plugin_logging,upstream-mirror,delete
03-24-feat_removes_enable_litellm_fallback_option_for_more_granular_settings,upstream-mirror,delete
03-25-added_lock_split_for_model_parameter_sync,upstream-mirror,delete
03-25-fix_docs_keys_to_be_added_under_provider_configs,upstream-mirror,delete
03-26-fix_drop_tool_choice_in_agent_mode,upstream-mirror,delete
03-27-feat_sends_dropped_params_to_request_body,upstream-mirror,delete
03-29-add_multiple_budgets_for_virtual_keys,upstream-mirror,delete
03-30-_draft_rule_based_routing_in_cel_routing_rules,upstream-mirror,delete
03-30-send_empty_model_list_vs_erroring_lsit_models_call,upstream-mirror,delete
04-01-chore_changelog,upstream-mirror,delete
04-01-fixes_tag_detection_for_cahgnes,upstream-mirror,delete
04-01-scim_flow_improvements,upstream-mirror,delete
04-02-_do-not-merge-draft_rule_based_complexity_routing_in_cel_routing_rules,upstream-mirror,delete
04-02-lastdump_usage_lock,upstream-mirror,delete
04-03-feat_multimodal_embeddings,upstream-mirror,delete
04-04-adds_gcs_support_pooled_gzip_and_config_schema_update,upstream-mirror,delete
04-06-fix_convert_developer_role_to_system_for_bedrock_and_gemini_vertex_,upstream-mirror,delete
04-08-feat_multiple_otel_profiles,upstream-mirror,delete
04-09-listbymodels_exception_fixes,upstream-mirror,delete
04-10-feat_added_priority_teir_handling_in_pricing,upstream-mirror,delete
04-14-chore_updated_docs_for_otel_plugin,upstream-mirror,delete
04-14-fix_copy_object_field_from_response_in_chat_stream_test,upstream-mirror,delete
04-15-fix_delete_fallbacks_from_anthropic_req,upstream-mirror,delete
04-15-helmchart_rc_release,upstream-mirror,delete
04-16-docs_updates,upstream-mirror,delete
04-16-feat_responsive_design,upstream-mirror,delete
04-17-chore_bump_up_chart_version,upstream-mirror,delete
04-17-feat_add_externally_passed_teamid_customerid_support_in_routing_rules,upstream-mirror,delete
04-17-feat_complexity_router_backend-changes,upstream-mirror,delete
04-17-feat_complexity_router_docs,upstream-mirror,delete
04-17-feat_complexity_router_ui,upstream-mirror,delete
04-17-feat_configure_the_complexity_router_page,upstream-mirror,delete
04-20-ci_bump_up_helm_chart,upstream-mirror,delete
04-20-feat_auto_vk_detection_in_per_user_mcp_oauth_registration,upstream-mirror,delete
04-20-feat_ollama_integration,upstream-mirror,delete
04-20-fix_close_passthrough_streams_promptly,upstream-mirror,delete
04-20-fix_persist_passthrough_stream_logs_across_refresh,upstream-mirror,delete
04-21-docs_add_docs_for_claude_code_vscode_plugin,upstream-mirror,delete
04-26-adds_id_to_the_schema_for_base_key,upstream-mirror,delete
04-26-docs_updates,upstream-mirror,delete
04-27-feat_adds_option_to_disable_mcp_clients,upstream-mirror,delete
04-27-feat_virtual_keys_sorting_by_rate_limit,upstream-mirror,delete
04-29-chore_updates_helm_index,upstream-mirror,delete
04-29-feat_example_files_for_virtual_keys,upstream-mirror,delete
04-29-move_genai_flows_to_use_ordered_maps_vs_map,upstream-mirror,delete
04-30-chore_scim_teams_page_style_fix,upstream-mirror,delete
04-30-fix_compat_plugin_drops_cachepoint_for_unsupported_bedrock_model_and_non-bedrock_models,upstream-mirror,delete
04-30-fix_fixes_namespace_in_responsetoolmessage_to_work_correctly_with_codex_cli,upstream-mirror,delete
06-22--feat_transports_plugin_system_standardized,upstream-mirror,delete
06-23-enhancement_added_sanitization_for_common_mcp_server_schema_errors,upstream-mirror,delete
06-27-feat_go_plugins_implemented_for_dynamic_plugin_loading,upstream-mirror,delete
07-19-feat_transports_storage_shifted_to_gorm_db,upstream-mirror,delete
07-22-feat_tts_and_stt_support_added_for_openai,upstream-mirror,delete
07-25-feat_ci_core_provider_tests_added_to_pr_activity_and_minor_fixes,upstream-mirror,delete
07-29-dev_performance_tracking_for_benchmarking,upstream-mirror,delete
08-03-feat_circuit_breaker_plugin,upstream-mirror,delete
08-05-enhancement_core_implementation_optimsations,upstream-mirror,delete
08-21-governance_removes_cyclic_deps,upstream-mirror,delete
08-29-feat_markdown_support_in_json_parser_plugin,upstream-mirror,delete
08-29-schema_updates,upstream-mirror,delete
09-01-fix_base_provider_level_request_level_restriction,upstream-mirror,delete
09-02-chore_corrected_function_call_of_ptr,upstream-mirror,delete
09-08-fix_handle_finish_reason_and_delta_content_in_stream,upstream-mirror,delete
09-11-feat_responses_api_option_added_in_openai_provider,upstream-mirror,delete
09-15-seggreate_http_server_into_a_separate_struct,upstream-mirror,delete
09-18-enhancement_centralize_provider_operations_logic,upstream-mirror,delete
09-20-enhancement_bedrock_convrse_api_implementation,upstream-mirror,delete
09-21-refactor_pass_input_as_bifrost_request_for_requests,upstream-mirror,delete
09-23-feat_core_tests_refactors,upstream-mirror,delete
09-23-refactor_openai_provider_logic_standardized,upstream-mirror,delete
09-26-fix_sort_tools_alphabetically_while_generating_hash,upstream-mirror,delete
10-01-mysql_support,upstream-mirror,delete
10-01-posgres_support,upstream-mirror,delete
10-02-feat_vk_provider_routing_added,upstream-mirror,delete
10-03-feat_text_completions_fixes_and_addition_to_openai_and_sgl,upstream-mirror,delete
10-06-feat_fallbacks_added_to_vk_provider_routing,upstream-mirror,delete
10-06-fix_minor_type_fixes,upstream-mirror,delete
10-06-fix_openai_use_responses_column_migration_added_and_minor_fixes,upstream-mirror,delete
10-06-fixes_readme,upstream-mirror,delete
10-07-feat_sync_pools_added_to_all_internal_structs,upstream-mirror,delete
10-09-enhancement_extent_websocket_handler_for_general_usage,upstream-mirror,delete
10-09-feat_maxim_prompt_version_support_added,upstream-mirror,delete
10-09-feat_maxim_prompt_version_support_added_new,upstream-mirror,delete
10-09-feat_transport_interceptor_method_added_to_plugin_schema,upstream-mirror,delete
10-09-minor_extrensibility_updates,upstream-mirror,delete
10-10-feat_stream_chunk_latencies_added,upstream-mirror,delete
10-10-guardrails,upstream-mirror,delete
10-15-fix_restructured_core-provider_test_cases,upstream-mirror,delete
10-16-fix_removed_timeouts,upstream-mirror,delete
10-20-dynamic-plugins-ui,upstream-mirror,delete
10-22-independent_test_cases,upstream-mirror,delete
10-24-fix_maxim_logger_fixes,upstream-mirror,delete
10-26-separate_schema_package_wip,upstream-mirror,delete
10-27-move_all_providers_to_use_fasthttp_even_for_streaming,upstream-mirror,delete
10-31-feat-http-response-decoding-and-ctx-level-req-control-added,upstream-mirror,delete
11-01-adds_auth_for_web_ui,upstream-mirror,delete
11-02-feat_core_providers_standardization_refactors,upstream-mirror,delete
11-03-provider_refactor_fixes,upstream-mirror,delete
11-04-enable_core_tests,upstream-mirror,delete
11-04-feat_cohere_chat_streaming_fixes,upstream-mirror,delete
11-05-enhancement_config_to_disable_content_logging,upstream-mirror,delete
11-15-fix_issues_from_cr,upstream-mirror,delete
11-17-feat_hermetic_binary_for_offline_local_use,upstream-mirror,delete
11-18-attribute_fixes,upstream-mirror,delete
11-18-feat_added_codemode_to_mcp,upstream-mirror,delete
11-18-feat_mcp_core_refactor_and_agent_mode_added,upstream-mirror,delete
11-24-fix_elevenlabs_error_parsing_fixes,upstream-mirror,delete
11-24-fix_send_back_raw_error,upstream-mirror,delete
11-24-pydantic,upstream-mirror,delete
11-25-feat_send_back_raw_error,upstream-mirror,delete
12-04-gemini-sdk-batch-support,upstream-mirror,delete
12-08-feat_governance_plugin_refactor,upstream-mirror,delete
12-09-fix_gemini_transcription_test_cases,upstream-mirror,delete
12-09-fix_reroute_requests_incoming_from_integrations_for_full_compatibility_in_custom_providers,upstream-mirror,delete
12-11-deadlock_fix,upstream-mirror,delete
12-15-fix_updated_nebius_provider,upstream-mirror,delete
12-23-feat_added_retries_across_multiple_keys,upstream-mirror,delete
12-29-bring_back_transport_tests,upstream-mirror,delete
anthropic-passthrough,upstream-mirror,delete
cherrypick/openai-responses-tool-fields,upstream-mirror,delete
chore/add-funding-2026-05-02,koosha-stale,delete
chore/add-trufflehog-2026-05-02,koosha-stale,delete
chore/governance-bootstrap,koosha-stale,delete
chore/governance-bootstrap-bifrost,koosha-stale,delete
chore/update_docs_for_crud_search_support,koosha-stale,delete
coderabbitai/chat/7e89fb8,upstream-mirror,delete
coderabbitai/docstrings/73fb26d,upstream-mirror,delete
docs/rerank-api,upstream-mirror,delete
ent-hotfix/pr3-async-job-fix,upstream-mirror,delete
ent-v1.3.3-base,upstream-mirror,delete
ent-v1.3.4-base,upstream-mirror,delete
feat-pages-responsiveness,upstream-mirror,delete
feat/WIP_prompt_playground_draft,upstream-mirror,delete
feat/bifrost-local-delta,keep,keep
feat/expose-model-capabilities-api,upstream-mirror,delete
feat/image-gen,upstream-mirror,delete
feat/image-gen-2,upstream-mirror,delete
feat/wave-h4-vendor-pin,koosha-stale,delete
feat_responsive_workspace/config/logging,upstream-mirror,delete
feat_responsive_workspace/dashboard,upstream-mirror,delete
feat_responsive_workspace/logs,upstream-mirror,delete
feat_responsive_workspace/mcp-logs,upstream-mirror,delete
feat_responsive_workspace/observability,upstream-mirror,delete
feature/02-07-fix_adds_considering_baselines_in_updatevirtualkeyinmemory_function,upstream-mirror,delete
feature/03-18-chore_update_docs_for_enterprise_crud_search_support___user-level_governance_and_large_payload_optimization,upstream-mirror,delete
feature/native-gemini,upstream-mirror,delete
fix-docs,upstream-mirror,delete
fix/04-21-fix_handle_sqlite_legacy_budget_column_drops,upstream-mirror,delete
fix/helm-mcp-timeout-duration,upstream-mirror,delete
fix/rerank-response-symmetry-and-tests,upstream-mirror,delete
fix/vertex-union-type-schema,upstream-mirror,delete
gh-pages,upstream-mirror,delete
graph-fixes,upstream-mirror,delete
graphite-base/1030,graphite,delete
graphite-base/1031,graphite,delete
graphite-base/112,graphite,delete
graphite-base/1163,graphite,delete
graphite-base/1316,graphite,delete
graphite-base/1328,graphite,delete
graphite-base/1333,graphite,delete
graphite-base/1334,graphite,delete
graphite-base/1338,graphite,delete
graphite-base/1340,graphite,delete
graphite-base/1341,graphite,delete
graphite-base/1397,graphite,delete
graphite-base/1399,graphite,delete
graphite-base/1429,graphite,delete
graphite-base/1430,graphite,delete
graphite-base/1453,graphite,delete
graphite-base/1458,graphite,delete
graphite-base/1464,graphite,delete
graphite-base/1466,graphite,delete
graphite-base/1596,graphite,delete
graphite-base/1671,graphite,delete
graphite-base/1672,graphite,delete
graphite-base/1685,graphite,delete
graphite-base/1769,graphite,delete
graphite-base/1770,graphite,delete
graphite-base/1771,graphite,delete
graphite-base/1772,graphite,delete
graphite-base/1773,graphite,delete
graphite-base/1774,graphite,delete
graphite-base/1885,graphite,delete
graphite-base/1910,graphite,delete
graphite-base/1919,graphite,delete
graphite-base/1924,graphite,delete
graphite-base/1933,graphite,delete
graphite-base/1940,graphite,delete
graphite-base/1942,graphite,delete
graphite-base/1966,graphite,delete
graphite-base/1967,graphite,delete
graphite-base/1968,graphite,delete
graphite-base/1969,graphite,delete
graphite-base/2000,graphite,delete
graphite-base/2006,graphite,delete
graphite-base/2008,graphite,delete
graphite-base/2012,graphite,delete
graphite-base/2013,graphite,delete
graphite-base/2016,graphite,delete
graphite-base/2021,graphite,delete
graphite-base/2022,graphite,delete
graphite-base/2036,graphite,delete
graphite-base/2037,graphite,delete
graphite-base/2041,graphite,delete
graphite-base/2043,graphite,delete
graphite-base/2044,graphite,delete
graphite-base/2050,graphite,delete
graphite-base/2052,graphite,delete
graphite-base/2053,graphite,delete
graphite-base/2066,graphite,delete
graphite-base/2084,graphite,delete
graphite-base/2101,graphite,delete
graphite-base/2106,graphite,delete
graphite-base/2107,graphite,delete
graphite-base/2108,graphite,delete
graphite-base/2109,graphite,delete
graphite-base/2113,graphite,delete
graphite-base/2116,graphite,delete
graphite-base/2125,graphite,delete
graphite-base/2126,graphite,delete
graphite-base/2127,graphite,delete
graphite-base/2147,graphite,delete
graphite-base/2151,graphite,delete
graphite-base/2155,graphite,delete
graphite-base/2158,graphite,delete
graphite-base/2178,graphite,delete
graphite-base/2181,graphite,delete
graphite-base/2182,graphite,delete
graphite-base/2183,graphite,delete
graphite-base/2184,graphite,delete
graphite-base/2365,graphite,delete
graphite-base/2383,graphite,delete
graphite-base/2457,graphite,delete
graphite-base/2510,graphite,delete
graphite-base/2625,graphite,delete
graphite-base/2875,graphite,delete
graphite-base/2876,graphite,delete
graphite-base/3076,graphite,delete
graphite-base/3167,graphite,delete
graphite-base/384,graphite,delete
graphite-base/492,graphite,delete
graphite-base/494,graphite,delete
graphite-base/498,graphite,delete
graphite-base/556,graphite,delete
graphite-base/586,graphite,delete
graphite-base/589,graphite,delete
graphite-base/594,graphite,delete
graphite-base/621,graphite,delete
graphite-base/625,graphite,delete
graphite-base/728,graphite,delete
graphite-base/762,graphite,delete
graphite-base/838,graphite,delete
graphite-base/86,graphite,delete
graphite-base/865,graphite,delete
graphite-base/922,graphite,delete
hotfix/plugins/jsonparser/1.2.17,upstream-mirror,delete
hotfix/plugins/maxim/v1.3.8,upstream-mirror,delete
hotfix/plugins/maxim/v1.3.9,upstream-mirror,delete
main,keep,keep
model-lists-for-providers,upstream-mirror,delete
observability,upstream-mirror,delete
observability-backend,upstream-mirror,delete
provider-conversion-rewrite,upstream-mirror,delete
refactor/pricing-overrides,upstream-mirror,delete
revert-2245-v1.5.0,upstream-mirror,delete
snyk-fix-0679130862fc30f6027fbf80eb7237b7,snyk,delete
snyk-fix-3721cfa3bfca6057426dbacc9c73df32,snyk,delete
snyk-fix-4c97d30d5cf4db4b683dfb06d3241db4,snyk,delete
snyk-fix-e960d717003e04ab469040e14d090f2c,snyk,delete
snyk-upgrade-0c52bd19dd62cfe60859bf12827eeaed,snyk,delete
snyk-upgrade-1add4a31aa9b65e5be27e47d5920e113,snyk,delete
snyk-upgrade-29a65f3f5267074880e3cfe254a7db8f,snyk,delete
snyk-upgrade-3d89ee36c62a4469512bad60b60c25df,snyk,delete
snyk-upgrade-4064a5992c056b122bc4834770a61502,snyk,delete
snyk-upgrade-49fe407223207c93dbe1cab9e9d1ed67,snyk,delete
snyk-upgrade-4eae94927e7ae30c62e10bb4b16cac28,snyk,delete
snyk-upgrade-66ec00a03077bf526d3fadd60199dafb,snyk,delete
snyk-upgrade-82f3f51cffafa08961ef98dac800b875,snyk,delete
snyk-upgrade-965fd11083615062e2b8b1393e83070f,snyk,delete
snyk-upgrade-99252aa5b5443eb7e21d75e910aa16ad,snyk,delete
snyk-upgrade-a48c726be97a3e79b49d9c35e062f338,snyk,delete
snyk-upgrade-c91f5d220dbf769a44735552f6092e14,snyk,delete
snyk-upgrade-d3c7e2e191ba1ba7889ecaf22c865fab,snyk,delete
snyk-upgrade-df1886eff5b6e8610d2fdec134a79b26,snyk,delete
snyk-upgrade-e0e96f8c18086256336b1c9a4d3e1e97,snyk,delete
snyk-upgrade-efb894d7677b987dc750743acafb5ad8,snyk,delete
sso,upstream-mirror,delete
stream-pausing-flow,upstream-mirror,delete
te,upstream-mirror,delete
test/request-typed-structs,upstream-mirror,delete
v1.3.1-rp1,upstream-mirror,delete
v1.4.x,upstream-mirror,delete
v1.5.0,upstream-mirror,delete
